form,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,influence,creativity,threat,ict_index,now_cost,selected_by_percent,element_type,team,xG,xA,npxG,xGChain,xGBuildup,xG_per_90,xA_per_90,npxG_per_90,xGChain_per_90,xGBuildup_per_90,shots,shots_on_target,key_passes,xG_overperformance,xA_overperformance,npxG_overperformance,xG_xA_combined,npxG_npxA_combined,finishing_quality,np_finishing_quality,tackles,tackles_won,tackle_pct,interceptions,tackles_plus_int,blocks,clearances,errors,def_contributions,def_contributions_per_90,def_contribution_prob,expected_def_points,progressive_passes,progressive_carries,progressive_receptions,progressive_passes_per_90,progressive_carries_per_90,progressive_receptions_per_90,touches,touches_att_3rd,sca,gca,sca_per_90,gca_per_90,points_next_gw
2.4000000000000004,58.0,1170.0,0.0,0.0,7.0,7.0,3.0,228.0,186.4,10.2,0.0,19.7,5.9,32.2,1.0,1.0,0.0,0.049500007182359695,0.0,1.7636128067970276,1.714112799614668,0.0,0.0,0.0,0.15,0.14,0.0,0.0,1.0,0.0,-0.05,0.0,0.049500007182359695,0.049500007182359695,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,17.0,1.5,0.02,0.04,50.0,5.0,0.0,4.0,0.4,0.0,400.0,0.0,5.0,0.0,0.4,0.0,1.0
2.7,58.0,1170.0,0.0,0.0,7.0,7.0,3.0,228.0,186.4,10.2,0.0,19.7,5.9,32.2,1.0,1.0,0.0,0.049500007182359695,0.0,1.7636128067970276,1.714112799614668,0.0,0.0,0.0,0.15,0.14,0.0,0.0,1.0,0.0,-0.05,0.0,0.049500007182359695,0.049500007182359695,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,17.0,1.5,0.02,0.04,50.0,5.0,0.0,4.0,0.4,0.0,400.0,0.0,5.0,0.0,0.4,0.0,1.0
3.0,58.0,1170.0,0.0,0.0,7.0,7.0,3.0,228.0,186.4,10.2,0.0,19.7,5.9,32.2,1.0,1.0,0.0,0.049500007182359695,0.0,1.7636128067970276,1.714112799614668,0.0,0.0,0.0,0.15,0.14,0.0,0.0,1.0,0.0,-0.05,0.0,0.049500007182359695,0.049500007182359695,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,17.0,1.5,0.02,0.04,50.0,5.0,0.0,4.0,0.4,0.0,400.0,0.0,5.0,0.0,0.4,0.0,2.0
3.3000000000000003,58.0,1170.0,0.0,0.0,7.0,7.0,3.0,228.0,186.4,10.2,0.0,19.7,5.9,32.2,1.0,1.0,0.0,0.049500007182359695,0.0,1.7636128067970276,1.714112799614668,0.0,0.0,0.0,0.15,0.14,0.0,0.0,1.0,0.0,-0.05,0.0,0.049500007182359695,0.049500007182359695,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,17.0,1.5,0.02,0.04,50.0,5.0,0.0,4.0,0.4,0.0,400.0,0.0,5.0,0.0,0.4,0.0,2.0
3.6000000000000005,58.0,1170.0,0.0,0.0,7.0,7.0,3.0,228.0,186.4,10.2,0.0,19.7,5.9,32.2,1.0,1.0,0.0,0.049500007182359695,0.0,1.7636128067970276,1.714112799614668,0.0,0.0,0.0,0.15,0.14,0.0,0.0,1.0,0.0,-0.05,0.0,0.049500007182359695,0.049500007182359695,1.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.0,17.0,1.5,0.02,0.04,50.0,5.0,0.0,4.0,0.4,0.0,400.0,0.0,5.0,0.0,0.4,0.0,2.0
2.5600000000000005,81.0,990.0,1.0,2.0,7.0,5.0,13.0,279.0,318.6,62.6,88.0,46.9,6.4,21.6,2.0,1.0,1.321236215531826,1.7131695747375488,1.321236215531826,3.851910028606653,3.756230864673853,0.12,0.16,0.12,0.35,0.34,8.0,0.0,4.0,-0.32,0.29,-0.32,3.034405790269375,3.034405790269375,0.76,0.76,25.0,15.0,60.0,20.0,45.0,20.0,50.0,1.0,115.0,8.0,0.5,1.0,80.0,30.0,20.0,5.5,2.0,1.4,800.0,50.0,20.0,2.0,1.4,0.14,2.0
2.8800000000000003,81.0,990.0,1.0,2.0,7.0,5.0,13.0,279.0,318.6,62.6,88.0,46.9,6.4,21.6,2.0,1.0,1.321236215531826,1.7131695747375488,1.321236215531826,3.851910028606653,3.756230864673853,0.12,0.16,0.12,0.35,0.34,8.0,0.0,4.0,-0.32,0.29,-0.32,3.034405790269375,3.034405790269375,0.76,0.76,25.0,15.0,60.0,20.0,45.0,20.0,50.0,1.0,115.0,8.0,0.5,1.0,80.0,30.0,20.0,5.5,2.0,1.4,800.0,50.0,20.0,2.0,1.4,0.14,2.0
3.2,81.0,990.0,1.0,2.0,7.0,5.0,13.0,279.0,318.6,62.6,88.0,46.9,6.4,21.6,2.0,1.0,1.321236215531826,1.7131695747375488,1.321236215531826,3.851910028606653,3.756230864673853,0.12,0.16,0.12,0.35,0.34,8.0,0.0,4.0,-0.32,0.29,-0.32,3.034405790269375,3.034405790269375,0.76,0.76,25.0,15.0,60.0,20.0,45.0,20.0,50.0,1.0,115.0,8.0,0.5,1.0,80.0,30.0,20.0,5.5,2.0,1.4,800.0,50.0,20.0,2.0,1.4,0.14,3.0
3.5200000000000005,81.0,990.0,1.0,2.0,7.0,5.0,13.0,279.0,318.6,62.6,88.0,46.9,6.4,21.6,2.0,1.0,1.321236215531826,1.7131695747375488,1.321236215531826,3.851910028606653,3.756230864673853,0.12,0.16,0.12,0.35,0.34,8.0,0.0,4.0,-0.32,0.29,-0.32,3.034405790269375,3.034405790269375,0.76,0.76,25.0,15.0,60.0,20.0,45.0,20.0,50.0,1.0,115.0,8.0,0.5,1.0,80.0,30.0,20.0,5.5,2.0,1.4,800.0,50.0,20.0,2.0,1.4,0.14,3.0
3.8400000000000007,81.0,990.0,1.0,2.0,7.0,5.0,13.0,279.0,318.6,62.6,88.0,46.9,6.4,21.6,2.0,1.0,1.321236215531826,1.7131695747375488,1.321236215531826,3.851910028606653,3.756230864673853,0.12,0.16,0.12,0.35,0.34,8.0,0.0,4.0,-0.32,0.29,-0.32,3.034405790269375,3.034405790269375,0.76,0.76,25.0,15.0,60.0,20.0,45.0,20.0,50.0,1.0,115.0,8.0,0.5,1.0,80.0,30.0,20.0,5.5,2.0,1.4,800.0,50.0,20.0,2.0,1.4,0.14,3.0
